HRU_ID,2012,2013,2014,2015,2016
2389,2,2,2,2,2
345,2,2,2,2,2
895,2,2,2,2,2
894,2,2,2,2,2
893,28,19,28,19,28
341,2,2,2,2,2
340,2,2,2,2,2
2382,2,2,2,2,2
2381,2,2,2,2,2
2384,2,2,2,2,2
2383,2,2,2,2,2
2386,2,2,2,2,2
2385,2,2,2,2,2
2388,2,2,2,2,2
2387,2,2,2,2,2
1379,15,-999,-999,-999,-999
1362,18,-999,-999,-999,-999
1361,18,-999,-999,-999,-999
2841,16,-999,-999,-999,-999
2840,16,-999,-999,-999,-999
1358,16,-999,-999,-999,-999
1357,16,-999,-999,-999,-999
1360,16,-999,-999,-999,-999
1359,16,-999,-999,-999,-999
1354,16,-999,-999,-999,-999
1353,16,-999,-999,-999,-999
1356,16,-999,-999,-999,-999
1355,16,-999,-999,-999,-999
1236,16,-999,-999,-999,-999
695,2,2,2,2,2
770,2,2,2,2,2
769,2,2,2,2,2
764,2,2,2,2,2
763,2,2,2,2,2
762,2,2,2,2,2
761,2,2,2,2,2
768,2,2,2,2,2
767,2,2,2,2,2
766,2,2,2,2,2
765,2,2,2,2,2
570,16,-999,-999,-999,-999
569,16,-999,-999,-999,-999
562,28,19,19,19,19
561,11,-999,-999,-999,-999
564,2,2,2,2,2
563,2,2,2,2,2
566,16,-999,-999,-999,-999
565,2,2,2,2,2
568,16,-999,-999,-999,-999
567,16,-999,-999,-999,-999
1174,11,-999,-999,-999,-999
1173,11,-999,-999,-999,-999
1176,11,-999,-999,-999,-999
1175,11,-999,-999,-999,-999
1178,11,-999,-999,-999,-999
1177,11,-999,-999,-999,-999
1180,11,-999,-999,-999,-999
1179,11,-999,-999,-999,-999
1182,11,-999,-999,-999,-999
1181,11,-999,-999,-999,-999
1376,2,2,2,2,2
2923,2,2,2,2,2
2922,2,2,2,2,2
3373,2,2,2,2,2
1413,2,2,2,2,2
3372,2,2,2,2,2
239,15,-999,-999,-999,-999
238,2,2,2,2,2
237,16,-999,-999,-999,-999
236,15,-999,-999,-999,-999
235,28,19,28,19,28
234,28,19,28,19,28
233,16,-999,-999,-999,-999
1415,2,2,2,2,2
231,2,2,2,2,2
230,2,2,2,2,2
1416,28,19,28,19,28
2929,15,-999,-999,-999,-999
1417,16,-999,-999,-999,-999
2928,16,-999,-999,-999,-999
1418,2,2,2,2,2
1419,2,2,2,2,2
1420,2,2,2,2,2
910,16,-999,-999,-999,-999
2269,2,2,2,2,2
1699,5,5,5,5,5
909,2,2,2,2,2
150,16,-999,-999,-999,-999
908,16,-999,-999,-999,-999
673,2,2,2,2,2
1604,2,2,2,2,2
907,2,2,2,2,2
1427,-999,-999,-999,-999,-999
649,2,2,2,2,2
595,16,-999,-999,-999,-999
596,16,-999,-999,-999,-999
1603,2,2,2,2,2
597,16,-999,-999,-999,-999
906,2,2,2,2,2
3155,16,-999,-999,-999,-999
2951,16,-999,-999,-999,-999
1476,5,5,5,5,5
1574,16,-999,-999,-999,-999
650,2,2,2,2,2
1225,16,-999,-999,-999,-999
593,16,-999,-999,-999,-999
1606,2,2,2,2,2
1575,16,-999,-999,-999,-999
1238,16,-999,-999,-999,-999
656,2,2,2,2,2
2499,2,2,2,2,2
655,2,2,2,2,2
658,2,2,2,2,2
657,2,2,2,2,2
1582,11,-999,-999,-999,-999
1581,2,2,2,2,2
2896,2,2,2,2,2
2897,2,2,2,2,2
2898,2,2,2,2,2
2899,2,2,2,2,2
2892,2,2,2,2,2
2893,2,2,2,2,2
2894,16,-999,-999,-999,-999
2895,2,2,2,2,2
653,2,2,2,2,2
2900,15,-999,-999,-999,-999
2901,2,2,2,2,2
1608,2,2,2,2,2
98,16,-999,-999,-999,-999
