HRU_ID,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
5058,75,28,28,63,28,28,63,28,28,28,28,1
4953,28,75,28,28,75,28,28,27,28,28,28,28
4952,52,52,12,52,12,12,52,52,52,52,52,52
9427,70,28,63,70,28,19,73,28,43,63,43,28
8413,52,19,12,19,19,19,19,19,52,52,19,52
8414,19,52,12,52,52,19,52,52,52,52,52,52
8411,16,16,1,16,16,1,16,16,16,16,16,16
8412,16,19,27,19,28,19,19,28,63,27,19,52
8409,52,52,52,19,52,52,52,52,52,52,52,52
8410,16,16,16,16,16,16,16,16,16,16,16,16
8407,52,19,52,52,52,52,19,52,52,52,52,52
8408,52,16,12,19,28,19,1,28,16,27,19,52
5627,1,28,1,28,1,28,1,28,1,28,1,28
8415,52,52,12,52,52,52,52,52,52,52,52,52
8416,19,63,52,52,52,19,19,19,70,52,52,21
572,52,52,1,52,1,1,1,1,1,1,52,52
9554,16,16,12,16,16,16,16,16,16,16,16,16
9555,16,16,12,16,16,16,16,16,16,16,16,16
9556,16,16,12,16,16,16,16,16,16,16,16,16
9549,16,16,12,16,16,16,16,16,16,16,16,16
9550,16,28,12,16,16,16,16,16,16,16,16,16
9551,16,16,12,16,16,16,16,16,16,16,16,16
9552,16,16,12,16,16,16,16,16,16,16,16,16
564,1,1,12,52,12,1,52,1,1,1,1,1
565,1,1,1,1,28,1,1,1,1,1,1,1
566,28,1,12,1,28,28,52,1,28,1,28,1
567,URLD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
568,28,1,28,1,1,1,1,1,1,1,1,1
569,1,1,1,1,1,1,1,1,1,1,1,52
570,1,1,1,1,1,1,1,1,1,1,1,1
571,URMD,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
2369,28,1,28,1,28,1,28,1,28,1,28,1
2368,28,1,28,1,28,1,28,1,28,1,28,1
2367,28,1,28,1,28,1,28,1,28,1,28,1
2366,28,1,28,1,28,1,28,1,28,1,28,1
2365,28,1,28,1,28,1,28,1,28,1,28,1
2364,28,1,28,1,28,1,28,1,28,1,28,1
2363,28,1,28,1,70,28,1,28,1,70,28,1
2362,1,1,28,28,1,28,1,28,1,28,28,1
2371,28,1,28,1,28,1,28,1,28,1,28,1
2370,28,1,70,28,1,28,1,28,70,28,1,28
7606,28,1,28,1,28,1,75,63,28,27,27,1
7607,16,16,12,16,16,16,16,16,16,27,1,28
7604,28,1,28,1,28,1,75,63,28,27,27,1
7605,28,1,28,1,28,1,75,63,28,27,27,1
7610,28,1,28,1,28,1,28,1,28,27,1,27
7611,28,1,28,1,28,1,28,1,28,27,1,27
7608,16,16,12,16,16,16,16,16,16,27,1,28
7609,16,16,12,16,16,16,16,16,16,27,1,28
7612,16,16,12,16,16,16,16,16,16,27,1,28
7613,16,16,12,16,16,16,16,16,16,27,1,28
2566,28,1,28,1,28,1,1,28,1,28,1,28
2565,28,1,28,1,28,1,1,28,1,28,1,28
2564,28,1,28,1,28,1,28,1,28,28,1,28
2563,28,1,28,1,28,1,28,1,28,28,1,28
2570,28,1,28,1,28,1,1,28,1,28,1,28
2569,28,1,28,1,28,1,1,28,1,28,1,28
2568,28,1,28,1,28,1,28,1,1,28,1,28
2567,28,1,28,1,28,1,28,1,1,28,1,28
11005,1,1,16,1,1,1,1,1,1,1,1,1
11006,16,16,16,16,16,16,16,16,16,16,16,16
2572,1,28,1,28,1,28,1,28,1,28,1,28
2571,28,1,28,1,28,1,1,28,1,28,1,28
1804,52,28,28,28,1,28,1,28,1,28,1,28
1803,27,28,1,28,1,28,1,28,1,28,1,28
1802,1,28,1,28,1,28,1,1,28,1,1,1
1801,1,28,1,28,1,28,1,1,28,1,1,1
1808,27,1,28,1,28,1,70,28,1,28,1,70
1807,27,1,28,1,28,1,70,28,1,28,70,28
1806,27,1,28,1,28,1,70,28,1,28,1,70
1805,27,1,28,1,28,1,70,28,1,28,1,70
9417,28,52,52,52,52,75,28,52,52,52,52,28
9418,28,52,52,52,52,75,28,52,52,52,52,28
1810,27,1,28,1,28,1,28,1,28,28,1,28
1809,27,1,28,1,28,1,70,28,1,28,1,70
8930,1,28,1,28,1,28,1,28,1,28,1,28
8931,1,28,1,28,1,28,1,28,1,28,1,28
8928,1,28,1,28,1,28,1,28,1,28,1,28
8929,1,28,1,28,1,28,1,28,1,28,1,28
8926,1,28,1,28,1,28,1,28,1,28,1,28
8927,1,28,1,28,1,28,1,28,1,28,1,28
8924,1,28,1,28,1,28,1,28,1,28,1,28
8925,1,28,1,28,1,28,1,28,1,28,1,28
8932,1,28,1,28,1,28,1,28,1,28,1,28
8933,1,28,1,28,1,28,1,28,1,28,1,28
5376,70,43,28,43,43,43,70,43,43,43,43,43
5375,16,43,12,16,43,16,16,16,16,16,16,28
5370,43,43,43,43,43,43,43,43,43,43,43,43
5369,43,43,43,43,43,43,43,43,43,43,43,43
5368,43,43,43,43,43,43,43,43,43,43,43,43
5367,43,43,43,43,43,43,43,43,43,43,43,43
5374,16,16,12,16,16,16,16,16,16,16,16,16
5373,43,43,43,43,43,43,43,43,43,43,43,43
5372,43,43,43,43,43,43,43,43,43,43,43,43
5371,43,43,43,43,43,43,43,43,43,43,43,43
2256,1,28,1,28,1,28,1,63,28,1,1,16
9474,28,1,28,1,28,1,28,1,28,1,28,1
2257,1,28,1,28,1,28,1,1,1,1,1,16
9741,52,52,52,27,52,52,52,52,52,27,28,52
9740,52,52,52,27,52,52,52,52,52,27,28,52
9475,28,1,28,1,28,1,28,1,28,1,28,1
9746,52,52,28,27,63,52,52,52,52,52,52,28
9745,52,52,28,27,63,52,52,52,52,52,52,28
1131,63,28,12,28,1,28,1,28,1,28,1,28
1130,28,28,28,1,28,1,28,1,28,1,28,1
1133,63,28,28,28,63,28,63,28,63,28,63,28
1132,28,16,12,28,16,16,16,16,16,16,16,28
1127,28,1,28,1,28,1,28,1,28,28,28,28
1126,28,28,1,28,1,28,1,28,1,28,1,28
1129,52,28,28,27,28,28,27,28,70,28,28,52
1128,28,1,28,1,28,1,28,1,28,1,28,1
9743,52,52,52,52,52,52,52,52,52,52,52,52
1135,28,28,28,28,28,28,28,52,52,52,52,52
1134,28,28,28,28,28,28,28,28,1,28,1,28
10679,52,52,12,52,52,52,19,52,52,52,52,52
10680,52,52,12,52,52,52,19,52,52,5,5,5
10677,16,16,12,16,16,16,16,16,16,16,16,16
10678,52,52,12,52,52,52,52,52,52,52,52,52
10675,52,52,12,43,52,19,28,19,19,19,1,19
10676,1,1,28,1,28,1,28,1,28,1,1,28
10673,27,1,28,1,28,1,28,1,28,1,1,28
10674,1,1,12,1,1,1,1,1,1,1,1,1
10671,63,28,63,28,63,28,81,81,81,81,81,122
10672,63,28,63,28,63,28,81,81,81,81,81,122
6358,11,12,12,52,52,16,52,52,52,52,52,52
6357,16,16,12,52,52,16,52,52,52,52,52,52
7108,1,19,19,16,91,6,6,1,16,19,19,91
7107,43,63,28,52,52,52,52,43,70,52,52,70
7104,43,63,28,52,52,52,52,16,16,52,52,70
7103,19,10,8,10,11,6,10,7,11,10,10,10
7106,43,63,28,52,52,52,52,43,70,52,52,70
7105,43,63,28,52,52,52,52,43,70,52,52,70
7100,19,10,12,10,11,6,10,7,11,10,16,11
7099,19,10,8,10,11,6,10,7,11,10,16,11
7102,19,10,12,10,11,6,16,11,11,7,10,16
7101,19,10,12,10,11,6,10,7,11,10,16,11
6187,70,19,19,63,63,52,63,19,52,52,52,52
6186,27,28,27,28,1,1,28,1,28,1,28,1
6189,1,28,43,43,43,28,70,28,43,43,43,28
6188,1,43,43,43,28,1,43,43,28,70,28,43
6183,52,52,52,19,28,19,52,52,52,52,52,52
6182,52,52,52,52,52,70,81,52,52,52,52,52
6185,43,43,28,70,43,43,73,52,52,52,19,43
6184,52,52,52,27,52,52,52,52,27,52,52,52
6191,63,70,28,28,70,28,63,70,28,63,70,28
6190,1,43,43,43,28,1,1,43,43,28,70,19
8682,1,28,12,28,12,28,12,28,1,28,16,12
8681,12,28,12,28,12,28,12,28,1,28,16,12
8680,1,28,12,28,1,28,1,28,1,28,1,28
8686,10,10,10,10,10,10,16,10,10,10,10,11
8685,10,8,12,10,10,8,8,8,10,10,8,8
8684,12,12,12,28,28,12,28,28,28,28,1,12
8683,1,28,1,28,1,28,1,1,28,28,28,1
8688,28,1,28,1,28,1,28,1,28,1,28,1
8687,1,28,1,28,1,28,1,28,1,28,1,28
3108,52,52,27,28,19,19,1,19,19,19,1,28
3109,1,28,1,28,1,28,1,28,1,28,1,28
8134,81,19,12,52,52,52,52,52,52,52,52,28
3106,52,28,27,5,19,19,19,19,19,19,1,28
3107,52,52,27,28,19,19,19,19,19,19,1,28
8126,52,52,12,16,52,52,52,52,52,52,52,52
8125,52,52,52,52,52,52,52,52,52,52,52,52
8128,63,43,43,43,28,52,52,52,52,16,16,43
8127,70,28,70,70,70,70,70,70,70,70,70,70
8130,1,70,28,1,1,52,52,52,52,52,52,1
8129,1,70,28,1,19,16,19,28,19,28,19,28
8132,1,16,1,1,1,1,16,1,1,1,1,16
8131,52,52,12,52,52,52,52,52,52,52,52,52
10405,52,52,52,52,52,19,52,52,52,52,52,52
3105,52,52,27,28,28,19,19,19,19,19,27,28
10406,43,43,43,28,43,43,1,28,43,43,43,28
3102,16,16,12,16,16,16,16,16,16,16,16,16
9613,52,16,12,16,1,16,16,16,16,16,16,16
3103,52,52,28,28,28,19,19,19,19,19,27,28
7248,4,4,31,1,28,5,43,28,52,43,43,52
7247,28,28,12,28,28,16,16,28,28,28,1,28
9614,52,52,28,28,52,52,52,52,52,52,52,52
7240,52,7,10,10,8,6,10,11,11,1,11,11
7239,122,1,81,27,28,28,28,27,27,28,27,28
7242,52,16,91,8,8,6,11,11,11,1,52,52
7241,16,16,16,16,16,16,16,16,16,19,16,21
7244,91,19,19,91,1,6,1,1,91,19,1,91
7243,28,52,52,52,52,52,28,19,28,19,5,1
7246,52,43,52,28,52,16,28,28,52,52,16,16
7245,52,19,28,52,52,52,52,52,52,19,19,19
7404,1,1,1,1,1,16,16,16,16,1,1,28
10411,43,43,43,43,43,43,43,43,43,52,52,52
7403,28,1,28,16,28,1,28,1,1,1,1,28
9043,16,16,12,28,12,16,16,16,16,16,16,16
10413,52,52,52,52,52,5,52,52,52,52,52,52
10414,52,52,52,52,52,52,52,52,52,52,52,52
2305,27,1,28,1,28,1,28,1,27,1,28,1
6346,31,63,28,63,28,63,28,63,28,63,28,63
6345,31,63,28,63,28,63,28,63,28,63,28,63
6344,31,63,28,63,28,63,28,63,28,63,28,63
6343,31,63,28,63,28,63,28,63,28,63,28,63
6347,31,63,28,63,28,63,28,63,28,63,28,63
2307,28,28,28,1,28,1,28,1,28,1,28,1
2306,27,1,28,1,28,1,28,1,27,1,28,1
9617,52,52,52,52,28,52,52,52,52,52,52,52
9618,52,52,52,52,52,52,52,52,52,52,52,52
7398,28,1,28,1,28,1,28,1,28,1,28,1
7397,1,1,1,1,28,28,28,1,28,28,28,1
8825,1,1,12,28,16,1,1,1,16,1,1,12
264,28,1,28,1,28,1,28,1,28,1,28,1
263,28,1,28,1,28,1,28,1,28,1,28,1
260,28,1,28,1,28,1,28,1,28,1,28,1
259,28,1,28,1,28,1,28,1,28,1,28,1
262,28,1,28,1,28,1,28,1,28,1,28,1
261,28,1,28,1,28,1,28,1,28,1,28,1
256,28,1,28,1,28,1,28,1,28,1,28,1
258,28,1,28,1,28,1,28,1,28,1,28,1
257,28,1,28,1,28,1,28,1,28,1,28,1
24,1,16,1,16,16,1,16,16,16,16,1,16
4485,63,52,52,52,19,52,63,19,52,52,52,52
4484,63,52,52,52,19,52,63,19,52,52,52,52
4487,16,52,52,52,52,52,52,19,52,52,52,52
4486,16,52,52,27,52,52,52,19,52,52,52,52
4481,16,16,28,16,16,28,28,1,28,1,1,28
4480,27,70,28,21,70,28,27,70,28,19,70,28
3062,16,16,12,16,16,16,16,16,16,16,16,16
3063,16,16,12,16,16,16,16,16,16,16,16,16
3060,1,28,1,28,1,28,1,28,1,28,1,28
3061,16,16,12,16,16,16,16,16,16,16,16,16
3058,28,28,27,28,28,75,28,28,27,1,28,28
3059,27,28,27,27,28,1,28,27,1,28,1,4
3056,27,28,27,1,28,1,28,1,28,1,1,1
3057,1,28,1,28,1,1,1,28,1,28,1,28
3054,27,28,27,1,28,1,28,1,28,28,1,1
3055,27,28,27,1,28,1,28,1,28,28,1,1
4970,1,28,1,28,1,28,1,28,1,28,1,28
4969,1,28,1,28,1,28,1,28,1,28,1,28
4972,1,28,1,28,1,28,1,28,1,1,1,1
374,28,27,1,28,27,1,28,27,28,27,28,27
4966,1,28,1,28,1,28,1,28,1,28,1,28
4968,1,28,1,28,1,28,1,28,1,28,1,28
4967,1,28,1,28,1,28,1,28,1,28,1,28
369,28,1,28,1,28,1,28,1,28,1,28,1
368,28,1,28,1,28,1,28,1,28,1,28,1
367,28,1,28,1,28,1,28,1,28,1,28,1
366,28,1,28,1,28,1,28,1,28,1,28,1
373,52,52,12,28,1,28,28,28,28,52,28,52
4973,28,1,28,1,28,1,28,1,28,1,28,1
371,63,28,63,28,63,28,28,28,28,28,28,28
370,28,1,28,1,28,1,28,1,28,1,28,1
4297,52,52,52,52,52,52,52,52,52,52,52,52
4296,1,52,52,52,52,52,52,52,4,52,52,52
4295,52,52,52,52,52,52,52,52,52,52,52,52
4294,12,16,12,16,16,16,16,16,16,16,16,16
4301,63,16,1,5,52,5,5,52,52,5,5,5
4300,52,52,52,52,52,52,52,52,52,52,52,52
