STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/8/1971,11.7,-3.3
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/9/1971,9.4,1.1
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/10/1971,12.2,5.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/11/1971,11.7,3.9
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/12/1971,8.9,5.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/13/1971,14.4,2.2
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/14/1971,15,3.9
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/15/1971,12.2,2.8
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/16/1971,11.1,-0.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/17/1971,8.9,-2.8
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/18/1971,4.4,-1.1
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/19/1971,12.2,1.7
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/20/1971,15.6,5.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/21/1971,15.6,0.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/22/1971,13.9,1.1
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/23/1971,11.7,-2.8
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/24/1971,6.1,1.1
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/25/1971,7.8,1.7
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/26/1971,8.9,4.4
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/27/1971,8.9,4.4
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/28/1971,11.7,3.3
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/29/1971,10,4.4
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,11/30/1971,8.3,3.3
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/1/1971,8.3,-2.8
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/2/1971,6.1,0
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/3/1971,8.3,-2.8
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/4/1971,3.9,0.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/5/1971,12.2,1.7
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/6/1971,13.9,2.8
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/7/1971,7.2,-5
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/8/1971,1.7,-4.4
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/9/1971,6.1,-3.9
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/10/1971,8.3,1.7
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/11/1971,6.1,-0.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/12/1971,7.2,1.1
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/13/1971,7.2,-1.7
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/14/1971,8.9,2.2
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/15/1971,7.2,2.2
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/16/1971,7.2,3.9
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/17/1971,11.1,5
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/18/1971,13.9,1.1
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/19/1971,7.8,-0.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/20/1971,8.3,3.9
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/21/1971,8.9,4.4
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/22/1971,13.3,4.4
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/23/1971,11.1,-1.7
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/24/1971,13.3,0
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/25/1971,10,0
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/26/1971,10.6,-3.9
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/27/1971,1.7,-8.3
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/28/1971,-1.7,-10.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/29/1971,-2.8,-6.1
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/30/1971,-1.7,-10.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,12/31/1971,4.4,-6.7
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/1/1972,6.7,-6.1
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/2/1972,11.1,3.3
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/3/1972,5,-7.8
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/4/1972,1.1,-7.2
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/5/1972,6.7,-1.1
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/6/1972,8.9,3.3
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/7/1972,12.2,3.3
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/8/1972,10.6,0.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/9/1972,10,3.3
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/10/1972,9.4,3.3
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/11/1972,9.4,4.4
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/12/1972,11.7,3.9
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/13/1972,8.3,-3.9
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/14/1972,3.3,-2.8
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/15/1972,6.1,-6.7
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/16/1972,3.3,-7.2
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/17/1972,13.9,-1.7
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/18/1972,12.2,2.2
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/19/1972,10.6,0.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/20/1972,13.3,6.1
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/21/1972,17.8,6.7
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/22/1972,12.2,5
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/23/1972,10,3.9
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/24/1972,8.3,2.8
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/25/1972,7.2,-6.7
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/26/1972,-4.4,-11.1
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/27/1972,-8.3,-16.7
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/28/1972,-7.8,-15
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/29/1972,-3.3,-12.2
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/30/1972,-3.9,-13.9
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,1/31/1972,-5,-10.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/1/1972,-5,-13.9
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/2/1972,-2.2,-17.2
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/3/1972,-7.2,-12.2
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/4/1972,-7.8,-10.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/5/1972,-5.6,-7.8
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/6/1972,-1.7,-5.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/7/1972,0,-5.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/8/1972,6.1,-2.8
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/9/1972,12.8,-4.4
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/10/1972,1.1,-1.7
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/11/1972,1.1,-0.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/12/1972,11.7,0
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/13/1972,13.3,2.8
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/14/1972,11.7,2.2
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/15/1972,10.6,2.8
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/16/1972,14.4,10
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/17/1972,15.6,3.3
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/18/1972,10,-1.1
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/19/1972,7.2,1.7
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/20/1972,7.8,3.9
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/21/1972,12.2,-3.3
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/22/1972,10,1.1
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/23/1972,12.2,-0.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/24/1972,10,0.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/25/1972,9.4,1.1
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/26/1972,11.1,1.1
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/27/1972,11.7,3.9
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/28/1972,22.2,7.8
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,2/29/1972,18.9,5.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/1/1972,9.4,1.7
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/2/1972,6.1,0.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/3/1972,10,3.3
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/4/1972,8.3,3.3
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/5/1972,8.9,2.8
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/6/1972,20,6.1
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/7/1972,11.7,-1.7
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/8/1972,9.4,-1.7
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/9/1972,11.7,-0.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/10/1972,11.1,2.2
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/11/1972,16.7,3.9
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/12/1972,17.8,4.4
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/13/1972,15,7.8
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/14/1972,17.8,4.4
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/15/1972,17.2,3.9
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/16/1972,20,4.4
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/17/1972,23.3,5
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/18/1972,24.4,9.4
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/19/1972,17.2,7.8
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/20/1972,17.2,2.8
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/21/1972,18.3,4.4
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/22/1972,17.8,7.8
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/23/1972,13.9,6.1
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/24/1972,13.3,3.9
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/25/1972,14.4,-1.1
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/26/1972,10.6,-1.1
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/27/1972,11.1,-0.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/28/1972,13.3,-1.7
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/29/1972,13.9,1.7
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/30/1972,17.2,2.2
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,3/31/1972,20,0.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,4/1/1972,20,8.9
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,4/2/1972,17.8,-1.1
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,4/3/1972,13.3,-5.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,4/4/1972,15,4.4
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,4/5/1972,20.6,5.6
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,4/6/1972,17.8,2.8
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,4/7/1972,13.9,1.1
USC00350858,"BOARDMAN, OR US",45.8472,-119.6933,85.3,4/8/1972,14.4,-1.1
