WR_ID, Min_FlOW_cms_-1_flag_for_no_restriction, Start_Date, End_Date
   109     0.28    182    212
   109     0.19    213    243
   109     0.16    244    273
   109     0.18    274    304
   109      0.3    305    334
   109     0.65    335    365
   110     0.71      1    365
   111      3.4      1     31
   111     6.37     32    151
   111     1.95    152    181
   111     0.71    182    212
   111     0.31    213    242
   111     0.17    243    243
   111     0.32    244    273
   111     0.41    274    304
   111     0.94    305    334
   111      3.4    335    365
   112     -1.0      1    365
   113     -1.0      1    365
   114     -1.0      1    365
   115      0.8      1     31
   115     1.08     32    151
   115     0.57    152    181
   115     0.34    182    212
   115     0.27    213    243
   115     0.23    244    304
   115      0.3    305    334
   115     0.65    335    365
   116     -1.0      1    365
   117      3.4      1     31
   117     6.37     32    151
   117     1.95    152    181
   117     1.13    182    242
   117      0.0    243    243
   117     1.13    244    273
   117     0.71    274    304
   117     0.94    305    334
   117      3.4    335    365
   118     -1.0      1    365
   119     0.57      1     31
   119     0.85     32    151
   119     0.57    152    181
   119     0.34    182    212
   119     0.23    213    334
   119     0.57    335    365
   120     -1.0      1    365
   121     -1.0      1    365
   122     -1.0      1    365
   123     -1.0      1    365
   124     0.57      1     31
   124     0.85     32    151
   124     0.57    152    181
   124     0.34    182    212
   124     0.23    213    334
   124     0.57    335    365
   125     -1.0      1    365
   126     -1.0      1    365
   127     5.66      1     31
   127      6.8     32    151
   127     5.66    152    181
   127     2.83    182    212
   127      1.7    213    273
   127     5.66    274    365
   128     -1.0      1    365
   129     5.66      1     31
   129      6.8     32    151
   129     5.66    152    181
   129     2.83    182    212
   129      1.7    213    273
   129     5.66    274    365
   130     -1.0      1    365
   131     -1.0      1    365
   132     5.66      1     31
   132      6.8     32    151
   132     5.66    152    181
   132     2.83    182    212
   132      1.7    213    273
   132     5.66    274    365
   133     -1.0      1    365
   134     5.66      1     31
   134      6.8     32    151
   134     5.66    152    181
   134     2.83    182    212
   134      1.7    213    273
   134     5.66    274    365
   135     5.66      1     31
   135      6.8     32    151
   135     5.66    152    181
   135     2.83    182    212
   135      1.7    213    273
   135     5.66    274    365
   136     7.08      1    181
   136      3.4    182    212
   136     2.41    213    258
   136     7.08    259    273
   136      8.5    274    319
   136     7.08    320    365
   137     7.08      1    181
   137      3.4    182    212
   137     2.41    213    258
   137     7.08    259    273
   137      8.5    274    319
   137     7.08    320    365
   138     7.08      1    181
   138      3.4    182    212
   138     2.41    213    258
   138     7.08    259    273
   138      8.5    274    319
   138     7.08    320    365
   139     7.08      1    181
   139      6.8    182    258
   139     7.08    259    273
   139      8.5    274    319
   139     7.08    320    365
   140     7.08      1    181
   140      6.8    182    258
   140     7.08    259    273
   140      8.5    274    319
   140     7.08    320    365
   141     7.08      1    181
   141      6.8    182    258
   141     7.08    259    273
   141      8.5    274    319
   141     7.08    320    365
   142     7.08      1    181
   142      6.8    182    258
   142     7.08    259    273
   142      8.5    274    319
   142     7.08    320    365
   143     7.08      1    181
   143      6.8    182    258
   143     7.08    259    273
   143      8.5    274    319
   143     7.08    320    365
   144     7.08      1    181
   144      6.8    182    258
   144     7.08    259    273
   144      8.5    274    319
   144     7.08    320    365
   145     7.08      1    181
   145      6.8    182    258
   145     7.08    259    273
   145      8.5    274    319
   145     7.08    320    365
   146     7.08      1    181
   146      6.8    182    258
   146     7.08    259    273
   146      8.5    274    319
   146     7.08    320    365
   147     7.08      1    181
   147      6.8    182    258
   147     7.08    259    273
   147      8.5    274    319
   147     7.08    320    365
