HRU_ID,2012,2013,2014,2015,2016
2920,24,24,24,24,24
2923,23,23,23,23,23
2976,24,24,24,24,24
2979,23,23,23,23,23
3010,24,24,24,24,24
3013,23,23,23,23,23
3014,24,24,24,24,24
3066,23,23,23,23,23
3067,24,24,24,24,24
3069,24,24,24,24,24
3178,23,23,23,23,23
3180,23,23,23,23,23
3343,24,24,24,24,24
3370,23,23,23,23,23
2674,24,24,24,24,24
2802,24,24,24,24,24
2826,24,24,24,24,24
2837,23,23,23,23,23
2838,23,23,23,23,23
2921,24,24,24,24,24
2940,24,24,24,24,24
2977,24,24,24,24,24
3009,24,24,24,24,24
3011,23,23,23,23,23
3080,23,23,23,23,23
3326,23,23,23,23,23
3327,23,23,23,23,23
3377,23,23,23,23,23
3416,23,23,23,23,23
223,61,24,61,24,61
1172,24,24,24,24,24
1178,24,24,24,24,24
1379,23,23,23,23,23
1714,24,24,24,24,24
1751,23,23,23,23,23
205,61,24,61,24,61
208,61,24,61,24,61
210,43,61,61,43,61
352,61,53,61,53,61
354,36,36,36,36,36
356,36,36,36,36,36
358,61,24,61,24,61
3025,24,24,24,24,24
3084,23,23,23,23,23
3182,23,23,23,23,23
3183,24,24,24,24,24
521,24,24,24,24,24
648,23,23,23,23,23
519,24,24,24,24,24
542,23,23,23,23,23
586,24,24,24,24,24
587,24,24,24,24,24
609,23,23,23,23,23
634,24,24,24,24,24
3408,61,53,61,53,61
506,23,23,23,23,23
508,24,24,24,24,24
515,23,23,23,23,23
517,24,24,24,24,24
518,24,24,24,24,24
611,23,23,23,23,23
704,24,24,24,24,24
705,24,24,24,24,24
706,24,24,24,24,24
708,24,24,24,24,24
709,23,23,23,23,23
761,23,23,23,23,23
762,23,23,23,23,23
772,23,23,23,23,23
781,23,23,23,23,23
782,24,24,24,24,24
793,23,23,23,23,23
803,23,23,23,23,23
804,24,24,24,24,24
825,24,24,24,24,24
884,23,23,23,23,23
942,24,24,24,24,24
985,23,23,23,23,23
531,43,61,61,43,61
1863,24,24,24,24,24
1864,23,23,23,23,23
1865,24,24,24,24,24
1867,23,23,23,23,23
1868,23,23,23,23,23
1873,23,23,23,23,23
1874,23,23,23,23,23
1941,24,24,24,24,24
1979,24,24,24,24,24
1986,23,23,23,23,23
2129,23,23,23,23,23
2132,24,24,24,24,24
2166,23,23,23,23,23
2325,23,23,23,23,23
2436,24,24,24,24,24
2440,24,24,24,24,24
2441,24,24,24,24,24
2485,23,23,23,23,23
2503,23,23,23,23,23
2572,23,23,23,23,23
2604,23,23,23,23,23
2627,23,23,23,23,23
1902,23,23,23,23,23
1955,23,23,23,23,23
1960,23,23,23,23,23
1962,23,23,23,23,23
1963,23,23,23,23,23
1964,24,24,24,24,24
1988,24,24,24,24,24
1989,24,24,24,24,24
2119,24,24,24,24,24
2121,23,23,23,23,23
2122,24,24,24,24,24
2123,24,24,24,24,24
2136,24,24,24,24,24
2185,24,24,24,24,24
2186,23,23,23,23,23
2187,24,24,24,24,24
2244,24,24,24,24,24
2364,24,24,24,24,24
2365,23,23,23,23,23
2366,24,24,24,24,24
2367,24,24,24,24,24
2368,23,23,23,23,23
2369,24,24,24,24,24
2502,23,23,23,23,23
2540,24,24,24,24,24
2544,23,23,23,23,23
2590,24,24,24,24,24
2632,23,23,23,23,23
2693,24,24,24,24,24
2949,24,24,24,24,24
3401,23,23,23,23,23
1852,24,24,24,24,24
1853,23,23,23,23,23
1854,24,24,24,24,24
1937,23,23,23,23,23
1938,23,23,23,23,23
1954,23,23,23,23,23
1958,24,24,24,24,24
1972,24,24,24,24,24
2082,24,24,24,24,24
2101,24,24,24,24,24
2102,23,23,23,23,23
2104,23,23,23,23,23
2105,23,23,23,23,23
2118,23,23,23,23,23
2120,24,24,24,24,24
2190,23,23,23,23,23
2191,24,24,24,24,24
2204,24,24,24,24,24
2208,24,24,24,24,24
2209,23,23,23,23,23
2210,24,24,24,24,24
2211,24,24,24,24,24
2212,24,24,24,24,24
2213,24,24,24,24,24
2214,24,24,24,24,24
2215,24,24,24,24,24
2261,24,24,24,24,24
2262,23,23,23,23,23
2282,23,23,23,23,23
2289,24,24,24,24,24
2530,23,23,23,23,23
2618,23,23,23,23,23
2672,23,23,23,23,23
2738,23,23,23,23,23
2739,23,23,23,23,23
2741,23,23,23,23,23
2787,23,23,23,23,23
2789,24,24,24,24,24
2790,23,23,23,23,23
2793,23,23,23,23,23
2794,23,23,23,23,23
2807,23,23,23,23,23
2889,24,24,24,24,24
2890,23,23,23,23,23
2914,23,23,23,23,23
2928,24,24,24,24,24
2929,24,24,24,24,24
2960,24,24,24,24,24
2961,24,24,24,24,24
2982,23,23,23,23,23
3134,24,24,24,24,24
3210,24,24,24,24,24
3213,23,23,23,23,23
3214,23,23,23,23,23
3215,23,23,23,23,23
3271,24,24,24,24,24
1406,24,24,24,24,24
1489,23,23,23,23,23
1689,23,23,23,23,23
1691,23,23,23,23,23
1692,24,24,24,24,24
2260,23,23,23,23,23
