 HRU   WRID   WSRC   PRIOR   WATER(acre-ft)   YEAR
   390     1397      4      2       0.0000000000   1997
   391      689      4      1       8.1844815778   1997
   391     1397      4      2       0.0000000000   1997
   392      689      4      1       4.3916239375   1997
   392     1397      4      2       0.0000000000   1997
   393      689      4      1      11.3169545033   1997
   393     1397      4      2       0.0000000000   1997
   394      689      4      1       2.7024861852   1997
   394     1397      4      2       0.0000000000   1997
   395      937      4      1      93.5140324033   1997
   403       77      1      1       1.6056419677   1997
   404      666      4      1       8.0322657836   1997
   405      666      4      1     102.5873444037   1997
   406      666      4      1       7.0153483631   1997
   412      689      4      1       6.1039296046   1997
   412     1397      4      2       0.0000000000   1997
   416      740      4      1      16.2041033841   1997
   417      151      1      1       1.4402367473   1997
   417     1417      4      2       0.0000000000   1997
   418      762      4      1       0.2652032293   1997
   419      762      4      1       0.5370258628   1997
   427      740      4      1       1.9345742812   1997
   428      666      4      1       6.1039296046   1997
   429      666      4      1      94.4043727822   1997
   430      666      4      1       8.5451781023   1997
   485     1152      3      1       0.0000000000   1997
   489     1306      4      1       4.1770125790   1997
   490       79      1      1       0.0000000000   1997
   492     1152      3      1      60.6136882503   1997
   500     1152      3      1       0.0000000000   1997
   501     1306      4      1       7.1603175004   1997
   503     1306      4      1      42.0651779250   1997
   520      271      1      1       1.0667937265   1997
   521      758      3      1       5.1362861646   1997
   522      758      3      1      44.2908626078   1997
   548      271      1      1       0.3555979088   1997
   549      785      3      1      19.5575007637   1997
   550      789      3      1       6.6140058377   1997
   551      171      1      1       1.8136581981   1997
   551     1422      4      2       0.0000000000   1997
   551     1425      4      3       0.0000000000   1997
   551     1472      4      4       0.0000000000   1997
   552      175      1      1       1.4934727949   1997
   552     1422      4      2       0.0000000000   1997
   552     1425      4      3       0.0000000000   1997
   561      171      1      1       0.3954271011   1997
   562      171      1      1      11.4575475556   1997
   562     1422      4      2       0.0000000000   1997
   562     1425      4      3       0.0000000000   1997
   562     1472      4      4       0.0000000000   1997
   563      175      1      1      17.4239133106   1997
   563     1422      4      2       0.0000000000   1997
   563     1425      4      3       0.0000000000   1997
   582      160      1      1       2.0766975608   1997
   617      160      1      1       0.0599414655   1997
   621     1290      4      1       3.3162944574   1997
   622     1306      4      1       1.6778519780   1997
   636     1306      4      1       0.3597336361   1997
   639     1306      4      1       2.8765116030   1997
   641      339      1      1       0.0037330849   1997
   696      665      4      1       1.1019545842   1997
   696      747      4      2       0.0000000000   1997
