   260     9999      0      0      1
   261     9999      0      0      1
   262     9999      0      0      1
   263     9999      0      0      1
   264     9999      0      0      1
   265     9999      0      0      1
   266      154      1      4      1
   267      911      4      4      1
   268      757      3      4      1
   269      762      4      4      1
   270      762      4      4      1
   271      762      4      4      1
   272      762      4      4      1
   273      762      4      4      1
   274      762      4      4      1
   275      762      4      4      1
   276      628      4      4      1
   277      911      4      4      1
   278      911      4      4      1
   279      911      4      4      1
   280      154      1      4      1
   281     9999      0      0      1
   282     9999      0      0      1
   283     9999      0      0      1
   284     9999      0      0      1
   285     9999      0      0      1
   286     9999      0      0      1
   287     9999      0      0      1
   288     9999      0      0      1
   289     9999      0      0      1
   290     1379      4      4      1
   290     1380      4      4      2
   291     9999      0      0      1
   292     9999      0      0      1
   293     9999      0      0      1
   294     9999      0      0      1
   295     9999      0      0      1
   296     9999      0      0      1
   297     9999      0      0      1
   298     9999      0      0      1
   299     9999      0      0      1
   300     9999      0      0      1
   301     9999      0      0      1
   302     9999      0      0      1
   303      788      3      4      1
   304     1380      4      4      1
   304     1408      4      4      2
   305      691      4      4      1
   305     1408      4      4      2
   306      788      3      4      1
   307      655      3      4      1
   308      655      3      4      1
   309      655      3      4      1
   310      655      3      4      1
   311      655      3      4      1
   312     9999      0      0      1
   313     9999      0      0      1
   314     9999      0      0      1
   315     9999      0      0      1
   316     9999      0      0      1
   317      807      4      4      1
   318     9999      0      0      1
   319     9999      0      0      1
   320     9999      0      0      1
   321     9999      0      0      1
   322     9999      0      0      1
   323     9999      0      0      1
   324      157      1      4      1
   325     1380      4      4      1
   325     1408      4      4      2
   326      628      4      4      1
   327     9999      0      0      1
   328      655      3      4      1
   329      655      3      4      1
   330      655      3      4      1
   331      762      4      4      1
   332      762      4      4      1
   333      762      4      4      1
   334      762      4      4      1
   335      762      4      4      1
   336      762      4      4      1
   337      762      4      4      1
   338      762      4      4      1
   339      762      4      4      1
   340      691      4      4      1
   341     9999      0      0      1
   342      732      4      4      1
   343     9999      0      0      1
   344      756      3      4      1
   345      757      3      4      1
   346     9999      0      0      1
   347     9999      0      0      1
   348      655      3      4      1
   349      807      4      4      1
   350      732      4      4      1
   351     1379      4      4      1
   351     1380      4      4      2
   351     1408      4      4      3
   352     9999      0      0      1
   353     9999      0      0      1
   354     9999      0      0      1
   355     9999      0      0      1
   356      739      3      4      1
   357     9999      0      0      1
   358     9999      0      0      1
   359     9999      0      0      1
   360     9999      0      0      1
   361     9999      0      0      1
   362     9999      0      0      1
   363     9999      0      0      1
   364     9999      0      0      1
   365     9999      0      0      1
   366     9999      0      0      1
   367     9999      0      0      1
   368     9999      0      0      1
   369     9999      0      0      1
   370     9999      0      0      1
   371      937      4      4      1
   372      151      1    101      1
   372     1417      4    103      2
   373      152      1    101      1
   374     9999      0      0      1
   375     9999      0      0      1
   376     9999      0      0      1
   377     9999      0      0      1
   378     9999      0      0      1
   379     9999      0      0      1
   380     9999      0      0      1
   381     9999      0      0      1
   382     9999      0      0      1
   383     9999      0      0      1
   384     9999      0      0      1
   385     9999      0      0      1
   386     9999      0      0      1
   387     9999      0      0      1
   388     9999      0      0      1
   389      689      4      5      1
   389     1397      4      5      2
   390      689      4      5      1
   390     1397      4      5      2
   391      689      4      5      1
   391     1397      4      5      2
   392      689      4      5      1
   392     1397      4      5      2
   393      689      4      5      1
   393     1397      4      5      2
   394      689      4      5      1
   394     1397      4      5      2
   395      937      4      4      1
   396     9999      0      0      1
   397     9999      0      0      1
   398     9999      0      0      1
   399     9999      0      0      1
   400     9999      0      0      1
   401     9999      0      0      1
   402     9999      0      0      1
   403       77      1      5      1
   404      666      4      5      1
   405      666      4      5      1
   406      666      4      5      1
   407     9999      0      0      1
   408     9999      0      0      1
   409     9999      0      0      1
   410     9999      0      0      1
   411     9999      0      0      1
   412      689      4      5      1
   412     1397      4      5      2
   413     9999      0      0      1
   414     9999      0      0      1
   415     9999      0      0      1
   416      740      4      5      1
   417      151      1    101      1
   417     1417      4    103      2
   418      762      4      4      1
   419      762      4      4      1
   420     9999      0      0      1
   421     9999      0      0      1
   422     9999      0      0      1
   423     9999      0      0      1
   424     9999      0      0      1
   425     9999      0      0      1
   426     9999      0      0      1
   427      740      4      5      1
   428      666      4      5      1
   429      666      4      5      1
   430      666      4      5      1
   431     9999      0      0      1
   432     9999      0      0      1
   433     9999      0      0      1
   434     9999      0      0      1
   435     9999      0      0      1
   436     9999      0      0      1
   437     9999      0      0      1
   438     9999      0      0      1
   439     9999      0      0      1
   440     9999      0      0      1
   441     9999      0      0      1
   442     9999      0      0      1
   443     9999      0      0      1
   444     9999      0      0      1
   445     9999      0      0      1
   446     9999      0      0      1
   447     9999      0      0      1
   448     9999      0      0      1
   449     9999      0      0      1
   450     9999      0      0      1
   451     9999      0      0      1
   452     9999      0      0      1
   453     9999      0      0      1
   454     9999      0      0      1
   455     9999      0      0      1
   456     9999      0      0      1
   457     9999      0      0      1
   458     9999      0      0      1
   459     9999      0      0      1
   460     9999      0      0      1
   461     9999      0      0      1
   462     9999      0      0      1
   463     9999      0      0      1
   464     9999      0      0      1
   465     9999      0      0      1
   466     9999      0      0      1
   467     9999      0      0      1
   468     9999      0      0      1
   469     9999      0      0      1
   470     9999      0      0      1
   471     9999      0      0      1
   472     9999      0      0      1
   473     9999      0      0      1
   474     9999      0      0      1
   475     9999      0      0      1
   476     9999      0      0      1
   477     9999      0      0      1
   478     9999      0      0      1
   479     9999      0      0      1
   480     9999      0      0      1
   481     9999      0      0      1
   482     9999      0      0      1
   483     9999      0      0      1
   484     9999      0      0      1
   485     1152      3      6      1
   486     9999      0      0      1
   487     9999      0      0      1
   488     9999      0      0      1
   489     1306      4      6      1
   490       79      1      6      1
   491     9999      0      0      1
   492     1152      3      6      1
   493     9999      0      0      1
   494     9999      0      0      1
   495     9999      0      0      1
   496     9999      0      0      1
   497     9999      0      0      1
   498     9999      0      0      1
   499     9999      0      0      1
   500     1152      3      6      1
   501     1306      4      6      1
   502     9999      0      0      1
   503     1306      4      6      1
   504     9999      0      0      1
   505     9999      0      0      1
   506     9999      0      0      1
   507     9999      0      0      1
   508     9999      0      0      1
   509     9999      0      0      1
   510     9999      0      0      1
   511     9999      0      0      1
   512     9999      0      0      1
   513     9999      0      0      1
   514     9999      0      0      1
   515     9999      0      0      1
   516     9999      0      0      1
   517     9999      0      0      1
   518     9999      0      0      1
   519     9999      0      0      1
   520      271      1     91      1
   521      758      3      7      1
   522      758      3      7      1
   523     9999      0      0      1
   524     9999      0      0      1
   525     9999      0      0      1
   526     9999      0      0      1
   527     9999      0      0      1
   528     9999      0      0      1
   529     9999      0      0      1
   530     9999      0      0      1
   531     9999      0      0      1
   532     9999      0      0      1
   533     9999      0      0      1
   534     9999      0      0      1
   535     9999      0      0      1
   536     9999      0      0      1
   537     9999      0      0      1
   538     9999      0      0      1
   539     9999      0      0      1
   540     9999      0      0      1
   541     9999      0      0      1
   542     9999      0      0      1
   543     9999      0      0      1
   544     9999      0      0      1
   545     9999      0      0      1
   546     9999      0      0      1
   547     9999      0      0      1
